date,country,D,H,I,M,S
2019-08-01,Italy,0,51,6,0,0
2019-08-01,Japan,0,111,11,0,0
2019-08-02,Italy,0,47,10,0,0
2019-08-02,Japan,0,101,21,0,0
2019-08-03,Italy,0,42,15,0,0
2019-08-03,Japan,0,87,35,0,0
2019-08-04,Italy,0,40,17,0,0
2019-08-04,Japan,0,79,43,0,0
2019-08-05,Italy,0,38,19,0,0
2019-08-05,Japan,0,65,57,0,0
2019-08-06,Italy,0,36,15,3,3
2019-08-06,Japan,0,59,52,7,4
2019-08-07,Italy,0,29,18,6,4
2019-08-07,Japan,0,53,48,13,8
2019-08-08,Italy,0,24,18,8,7
2019-08-08,Japan,0,45,42,19,16
2019-08-09,Italy,0,24,16,9,8
2019-08-09,Japan,0,40,39,20,23
2019-08-10,Italy,0,23,15,9,10
2019-08-10,Japan,0,33,32,27,30
2019-08-11,Italy,0,19,17,11,10
2019-08-11,Japan,0,31,28,31,32
2019-08-12,Italy,0,16,13,17,11
2019-08-12,Japan,0,30,23,34,35
2019-08-13,Italy,0,16,8,19,14
2019-08-13,Japan,0,29,16,38,39
2019-08-14,Italy,0,16,8,19,14
2019-08-14,Japan,0,29,11,40,42
2019-08-15,Italy,0,15,8,19,15
2019-08-15,Japan,0,25,8,45,44
2019-08-16,Italy,0,13,6,22,16
2019-08-16,Japan,0,25,6,47,44
2019-08-17,Italy,0,12,4,25,16
2019-08-17,Japan,0,22,8,48,44
2019-08-18,Italy,0,10,6,25,16
2019-08-18,Japan,0,19,10,48,45
2019-08-19,Italy,0,8,8,25,16
2019-08-19,Japan,0,15,14,48,45
2019-08-20,Italy,0,8,7,25,17
2019-08-20,Japan,0,13,12,50,47
2019-08-21,Italy,1,6,7,28,15
2019-08-21,Japan,0,12,13,54,43
2019-08-22,Italy,1,6,6,29,15
2019-08-22,Japan,0,10,12,60,40
2019-08-23,Italy,1,4,6,33,13
2019-08-23,Japan,0,9,10,69,34
2019-08-24,Italy,1,3,5,34,14
2019-08-24,Japan,0,8,7,77,30
2019-08-25,Italy,1,3,5,36,12
2019-08-25,Japan,0,6,7,84,25
2019-08-26,Italy,1,3,3,36,14
2019-08-26,Japan,0,5,7,86,24
2019-08-27,Italy,1,3,3,37,13
2019-08-27,Japan,0,3,7,90,22
2019-08-28,Italy,1,3,1,41,11
2019-08-28,Japan,0,3,6,95,18
2019-08-29,Italy,1,2,1,42,11
2019-08-29,Japan,0,3,5,98,16
2019-08-30,Italy,1,1,2,43,10
2019-08-30,Japan,0,3,3,102,14
2019-08-31,Italy,1,1,2,44,9
2019-08-31,Japan,0,2,3,102,15
2019-09-01,Italy,1,0,3,44,9
2019-09-01,Japan,0,2,1,103,16
2019-09-02,Italy,1,0,3,44,9
2019-09-02,Japan,0,1,2,104,15
2019-09-03,Italy,1,0,2,44,10
2019-09-03,Japan,0,1,2,104,15
2019-09-04,Italy,1,0,1,46,9
2019-09-04,Japan,0,1,2,106,13
2019-09-05,Italy,1,0,1,47,8
2019-09-05,Japan,0,1,1,107,13
2019-09-06,Italy,1,0,0,49,7
2019-09-06,Japan,0,1,1,108,12
2019-09-07,Italy,1,0,0,50,6
2019-09-07,Japan,0,1,0,110,11
2019-09-08,Italy,1,0,0,52,4
2019-09-08,Japan,0,1,0,113,8
2019-09-09,Italy,1,0,0,52,4
2019-09-09,Japan,0,1,0,115,6
2019-09-10,Italy,1,0,0,54,2
2019-09-10,Japan,0,0,1,116,5
2019-09-11,Italy,1,0,0,54,2
2019-09-11,Japan,0,0,1,117,4
2019-09-12,Italy,1,0,0,55,1
2019-09-12,Japan,0,0,1,117,4
2019-09-13,Italy,1,0,0,55,1
2019-09-13,Japan,0,0,1,118,3
2019-09-14,Italy,1,0,0,55,1
2019-09-14,Japan,0,0,1,118,3
2019-09-15,Italy,1,0,0,55,1
2019-09-15,Japan,0,0,0,120,2
2019-09-16,Italy,1,0,0,55,1
2019-09-16,Japan,0,0,0,121,1
2019-09-17,Italy,1,0,0,55,1
2019-09-17,Japan,0,0,0,121,1
2019-09-18,Italy,1,0,0,56,0
2019-09-18,Japan,0,0,0,121,1
2019-09-19,Italy,1,0,0,56,0
2019-09-19,Japan,0,0,0,121,1
